iteration,loss,perplexity,param_tokens,total_training_tokens
0,4.480474948883057,88.2765895882931,128,2048
500,2.4140188694000244,11.178797115420283,128,1026048
1000,2.4198052883148193,11.243669827829615,512,2050048
1500,2.409626007080078,11.129797900986796,512,3074048
2000,2.41507625579834,11.190623674959348,1024,4098048
2500,2.404677391052246,11.074856857890643,1024,5122048
3000,2.409958600997925,11.133500219725745,2048,6146048
3500,2.4059219360351562,11.088648595868571,2048,7170048
4000,2.413443088531494,11.172362430570029,5096,8194048
4500,2.4054174423217773,11.083055853232457,5096,9218048
4999,2.405431032180786,11.083206471422328,5096,10240000
